Time,acc_x,acc_y,acc_x,fx,fy,fz
0.1987,-0.00841968,0.0110351,0.036156,-0.563305,1.41435,0.0396432
0.1993,-0.00728369,0.0129569,0.036156,-0.410671,1.41435,0.345076
0.2,-0.00614771,0.0152507,0.0369403,0.0471078,1.41435,0.19236
0.2007,-0.00574677,0.0167592,0.0381167,-0.258036,1.41435,0.0396432
0.2013,-0.00614771,0.0182884,0.0373324,-1.02096,1.10924,-0.418056
0.202,-0.00614771,0.0201896,0.0369403,-0.563305,1.41435,-0.265339
0.2027,-0.00541265,0.0221115,0.0369403,-0.410671,1.41435,0.0396432
0.2033,-0.00501172,0.023248,0.0369403,-0.258036,1.2618,0.345076
0.204,-0.00427666,0.0244053,0.036156,0.0471078,1.71947,0.497342
0.2047,-0.00427666,0.0259138,0.0338815,0.0471078,1.87202,0.345076
0.2053,-0.00387573,0.0282076,0.0327051,-0.105526,1.56691,0.345076
0.206,-0.00347479,0.0293648,0.0334894,-0.715815,1.10924,0.19236
0.2067,-0.00387573,0.0301088,0.0330972,-0.563305,1.10924,0.0396432
0.2073,-0.00427666,0.031266,0.0319992,-0.258036,1.56691,0.19236
0.208,-0.00461078,0.0324026,0.0316071,-0.258036,1.56691,0.345076
0.2087,-0.00427666,0.0339318,0.0316071,-0.258036,1.10924,0.19236
0.2093,-0.00387573,0.035461,0.0312149,-0.563305,1.2618,-0.265339
0.21,-0.00387573,0.0362256,0.0300385,-0.410671,1.71947,-0.112623
0.2107,-0.00387573,0.0362256,0.0285483,-0.410671,1.56691,0.0396432
0.2113,-0.00347479,0.0365976,0.027764,-0.410671,1.41435,-0.265339
0.212,-0.00307385,0.0381268,0.0270582,-0.258036,1.56691,-0.112623
0.2127,-0.00273974,0.0392633,0.026666,-0.410671,1.10924,-0.112623
0.2133,-0.00273974,0.0400279,0.0258817,-0.563305,0.956686,-0.112623
0.214,-0.00347479,0.0407925,0.0254896,-0.410671,1.56691,-0.112623
0.2147,-0.00461078,0.0419498,0.0250974,-0.258036,1.41435,-0.265339
