"","participant","phase","day","group","N","slope","sd","first_result","second_result","Fgroup"
"180","7","2",8,"15",50,-1.69110753986136,1.33026139230069,"F","F>0","creeping"
"181","7","2",9,"15",50,-2.12364694939657,0.861848875529113,"F","F>0","creeping"
"182","7","2",10,"15",50,0.0969723165497152,2.35916885579587,"F","F>0","creeping"
"183","7","2",11,"15",50,-1.11425425638509,1.56125993511829,"F","F>0","creeping"
"184","7","2",12,"15",50,1.88820401593237,2.24070521470199,"F","F>0","creeping"
"185","7","2",13,"15",50,0.0147259982496617,2.13154565053565,"F","F>0","creeping"
"186","7","2",14,"15",50,1.5563472112549,1.66060603040832,"F","F>0","creeping"
"187","7","2",15,"15",50,-0.655599563578072,0.963947577648786,"F","F>0","creeping"
"188","8","1",1,"20",50,2.57011036498411,1.85562485324373,"T","F<0","success"
"189","8","1",2,"20",50,2.81191685033985,1.39786669346497,"T","F<0","success"
"190","8","1",3,"20",50,2.18369989522078,2.16940690483011,"T","F<0","success"
"191","8","1",4,"20",50,3.85915456219652,0.334062723538273,"T","F<0","success"
"192","8","1",5,"20",50,3.57874457308567,0.369281803971393,"T","F<0","success"
"193","8","1",6,"20",50,3.20176929913544,0.344861588044329,"T","F<0","success"
"194","8","2",1,"20",50,-1.10401544918173,0.860983510700987,"T","F<0","success"
"195","8","2",2,"20",50,-1.28605957960316,0.44995209098373,"T","F<0","success"
"196","8","2",3,"20",50,-1.00710934891484,0.53987187958689,"T","F<0","success"
"197","8","2",4,"20",50,-1.24542904013485,0.56849756796167,"T","F<0","success"
"198","8","2",5,"20",50,-1.32891329829681,0.580691810665199,"T","F<0","success"
"199","8","2",6,"20",50,-0.85001791973448,0.658081148815953,"T","F<0","success"
"200","8","2",7,"20",50,-0.343208261177502,1.28073952626622,"T","F<0","success"
"201","8","2",8,"20",50,2.23731233138446,1.28935430846034,"T","F<0","success"
"202","8","2",9,"20",50,3.28587355841915,0.461656221326972,"T","F<0","success"
"203","8","2",10,"20",50,3.33910147551949,1.01206379284943,"T","F<0","success"
